id,stake,race,gender,education,income,zip_code,birth_year,prior_participation,communication_with_government,worked_in_planning,challenges_completed,replies,likes,neighborhood_cleanup,tune_up_neighborhood_bike_works,give_the_gift_of_art,improve_the_rec_center,the_woodlands_tree_fund,help_green_lea_elementary_school,books_through_bars,fresh_food_on_wheels,second_mile_thrift_store,west_philly_tool_library,,,,,,,
3688,,,,,,,,I prefer not to answer,,I prefer not to answer,8%,0,0,,,,,,,,,,,,,,,,,
3492,Observer,,,,,,,I prefer not to answer,,I prefer not to answer,8%,0,0,,,,,,,,,,,,,,,,,
3379,,,,,,,,I prefer not to answer,,I prefer not to answer,8%,0,0,,,,,,,,,,,,,,,,,
2271,Lives in University/Southwest,White,Male,Master's Degree,"over $100,000",,1966,I prefer not to answer,"Yes, through personal meetings",I prefer not to answer,8%,0,0,,,,,,,,,,,,,,,,,
2822,Student,White,Female,Bachelor's Degree,I prefer not to answer,19146,1988,Yes,"Yes, through community meetings",No,8%,0,0,,,,,,,,,,,,,,,,,
3623,Student,,,,,,,I prefer not to answer,,I prefer not to answer,8%,0,0,,,,,,,,,,,,,,,,,
2791,Works in University/Southwest,,,,,,,I prefer not to answer,,I prefer not to answer,8%,0,2,,,,,,,,,,,,,,,,,
3224,Observer,,,,,,,I prefer not to answer,,I prefer not to answer,8%,0,0,,,,,,,,,,,,,,,,,
3626,Student,,,,,,,I prefer not to answer,,I prefer not to answer,8%,0,0,,,,,,,,,,,,,,,,,
2762,"Community Organizer or Activist, Educator, Observer, Religious Leader, Student, Volunteer",Black or African American,Male,High School or less,I prefer not to answer,19142,1996,No,No communication,Yes,8%,0,2,,,,,,,,,,,,,,,,,
3602,,,,,,,,I prefer not to answer,,I prefer not to answer,8%,0,0,,,,,,,,,,,,,,,,,
3506,,,,,,,,I prefer not to answer,,I prefer not to answer,8%,0,1,,,,,,,,,,,,,,,,,
3712,,,,,,,,I prefer not to answer,,I prefer not to answer,8%,0,0,,,,,,,,,,,,,,,,,
3637,,,,,,,,I prefer not to answer,,I prefer not to answer,8%,0,1,,,,,,,,,,,,,,,,,
3600,Lives in University/Southwest,,,,,,,I prefer not to answer,,I prefer not to answer,8%,0,0,,,,,,,,,,,,,,,,,
3468,Lives in University/Southwest,White,Female,Master's Degree,"over $100,000",17057,1985,Yes,"Yes, through personal meetings",No,8%,0,0,,,,,,,,,,,,,,,,,
3469,Works in University/Southwest,,,,,,,I prefer not to answer,,I prefer not to answer,8%,1,1,,,,,,,,,,,,,,,,,
3528,,,,,,,,I prefer not to answer,,I prefer not to answer,8%,0,0,,,,,,,,,,,,,,,,,
3617,Volunteer,White,Male,Bachelor's Degree,"over $100,000",19106,1985,No,"Yes, through social media",Yes,8%,0,1,,,,,,,,,,,,,,,,,
3628,,,,,,,,I prefer not to answer,,I prefer not to answer,8%,0,0,,,,,,,,,,,,,,,,,
3689,Community Organizer or Activist,,,,,,,I prefer not to answer,,I prefer not to answer,8%,0,0,,,,,,,,,,,,,,,,,
2400,Student,,,,,,,I prefer not to answer,,I prefer not to answer,8%,0,2,,,,,,,,,,,,,,,,,
3695,,White,Female,Bachelor's Degree,I prefer not to answer,19143,1970,No,"Yes, by email",Yes,6%,0,0,90,,,,,,,,,,,,,,,,
2633,,,,,,,,I prefer not to answer,,I prefer not to answer,6%,0,0,40,,,,,,,,,,,,,,,,
3634,,,,,,,,I prefer not to answer,,I prefer not to answer,6%,0,1,,,,,,,,,,,,,,,,,
2759,"Community Organizer or Activist, Lives in University/Southwest, Works in University/Southwest",White,Female,Bachelor's Degree,"$50,000 - $75,000",19143,1989,Yes,"Yes, by letter",Yes,6%,0,0,,,,,,,,,,,,,,,,,
2724,,,,,,,,I prefer not to answer,,I prefer not to answer,6%,0,0,,,,,,,,,,,,,,,,,
3601,,White,Male,Doctoral Degree,"over $100,000",19143,1973,No,"Yes, by phone",No,6%,0,0,,,,,,,,,,,,,,,,,
3098,Lives in University/Southwest,,,,,,,I prefer not to answer,,I prefer not to answer,6%,0,0,,,,,,,,,,,,,,,,,
3667,Educator,Black or African American,Male,Master's Degree,"$75,000 - $100,000",19118,1978,No,No communication,I prefer not to answer,6%,0,0,,,,,,,,,,,,,,,,,
2612,,,,,,,,I prefer not to answer,,I prefer not to answer,6%,0,0,,,,,,,,,,,,,,,,,
3228,Observer,,,,,,,I prefer not to answer,,I prefer not to answer,6%,0,0,,,,,,,,,,,,,,,,,
2450,Observer,White,Female,Bachelor's Degree,"$25,000 - $50,000",,1983,No,No communication,No,6%,0,6,,,,,,,,,,,,,,,,,
2973,,White,Male,Bachelor's Degree,"$50,000 - $75,000",19143,1983,No,"Yes, by email",No,4%,0,0,,,,,,,,,,,,,,,,,
3713,"Community Organizer or Activist, Lives in University/Southwest",Multiracial,I prefer not to answer,Bachelor's Degree,"$50,000 - $75,000",19143,1986,No,"Yes, through community meetings",Yes,4%,0,0,,,,,,,,,,,,,,,,,
2708,"Lives in University/Southwest, Works in University/Southwest",White,Male,Doctoral Degree,"over $100,000",19146,1976,No,"Yes, by email",No,4%,0,2,,,,,,,,,,,,,,,,,
2277,Lives in University/Southwest,White,Female,Bachelor's Degree,"$25,000 - $50,000",,1982,I prefer not to answer,"Yes, through community meetings",I prefer not to answer,4%,0,0,,,,,,,,,,,,,,,,,
3255,,,,,,,,I prefer not to answer,,I prefer not to answer,4%,0,0,,,,,,,,,,,,,,,,,
3217,,,,,,,,I prefer not to answer,,I prefer not to answer,4%,0,0,,,,,,,,,,,,,,,,,
3613,,,,,,,,I prefer not to answer,,I prefer not to answer,4%,0,0,,,,,,,,,,,,,,,,,
2833,,White,Female,Master's Degree,"$50,000 - $75,000",19146,1984,Yes,"Yes, by email",I prefer not to answer,4%,0,0,,,,,,,,,,,,,,,,,
3436,,,,,,,,I prefer not to answer,,I prefer not to answer,4%,0,0,,,,,,,,,,,,,,,,,
2747,"Lives in University/Southwest, Works in University/Southwest",White,Female,Doctoral Degree,I prefer not to answer,19041,1983,No,No communication,No,4%,0,0,,,,,,,,,,,,,,,,,
2683,Community Organizer or Activist,,,,,,,I prefer not to answer,,I prefer not to answer,4%,0,4,,,,,,,,,,,,,,,,,
3298,Lives in University/Southwest,,,,,,,I prefer not to answer,,I prefer not to answer,4%,2,3,,,,,,,,,,,,,,,,,
2811,,White,Female,Master's Degree,I prefer not to answer,19104,2000,I prefer not to answer,I prefer not to answer,I prefer not to answer,4%,0,7,,,,,,,,,,,,,,,,,
2943,Community Organizer or Activist,White,Male,Professional Degree,"$25,000 - $50,000",19143,1948,Yes,"Yes, by letter",Yes,4%,0,4,,,,,,,,,,,,,,,,,
3377,,White,Female,Bachelor's Degree,"$50,000 - $75,000",19139,1983,Yes,No communication,No,4%,0,0,,,,,,,,,,,,,,,,,
3009,Lives in University/Southwest,White,Female,Master's Degree,"$25,000 - $50,000",19146,2000,No,"Yes, by email",I prefer not to answer,4%,0,0,,,,,,,,,,,,,,,,,
3646,,,,,,,,I prefer not to answer,,I prefer not to answer,4%,0,0,,,,,,,,,,,,,,,,,
3313,,,,,,,,I prefer not to answer,,I prefer not to answer,4%,0,0,,,,,,,,,,,,,,,,,
3496,,White,Male,Bachelor's Degree,"$75,000 - $100,000",19106,1985,Yes,No communication,I prefer not to answer,4%,0,0,,,,,,,,,,,,,,,,,
3681,,,,,,,,I prefer not to answer,,I prefer not to answer,4%,0,0,,,,,,,,,,,,,,,,,
3580,Observer,,,,,,,I prefer not to answer,,I prefer not to answer,2%,0,0,,,,,,,,,,,,,,,,,
2722,,,,,,,,I prefer not to answer,,I prefer not to answer,2%,0,0,,,,,,,,,,,,,,,,,
2730,Observer,White,Female,Master's Degree,"over $100,000",8323,1950,Yes,"Yes, through personal meetings",Yes,2%,0,2,,,,,,,,,,,,,,,,,
3396,Student,,,,,,,I prefer not to answer,,I prefer not to answer,2%,0,0,,,,,,,,,,,,,,,,,
3624,Student,,,,,,,I prefer not to answer,,I prefer not to answer,2%,0,1,,,,,,,,,,,,,,,,,
2803,,White,Male,Some College,I prefer not to answer,19002,1991,No,No communication,No,2%,0,0,,,,,,,,,,,,,,,,,
3543,,,,,,,,I prefer not to answer,,I prefer not to answer,2%,0,0,,,,,,,,,,,,,,,,,
3625,,,,,,,,I prefer not to answer,,I prefer not to answer,2%,0,0,,,,,,,,,,,,,,,,,
3452,,,,,,,,I prefer not to answer,,I prefer not to answer,2%,0,0,,,,,,,,,,,,,,,,,
2336,Educator,,,,,,,I prefer not to answer,,I prefer not to answer,2%,0,3,,,,,,,,,,,,,,,,,
3561,Lives in University/Southwest,White,Male,Bachelor's Degree,"$75,000 - $100,000",19143,1968,Yes,"Yes, by email",Yes,2%,0,0,,,,,,,,,,,,,,,,,
3595,Student,White,Male,Bachelor's Degree,"$25,000 - $50,000",19146,1991,Yes,"Yes, through community meetings",I prefer not to answer,2%,0,2,,,,,,,,,,,,,,,,,
3307,,,,,,,,I prefer not to answer,,I prefer not to answer,2%,0,0,,,,,,,,,,,,,,,,,
3272,,,,,,,,I prefer not to answer,,I prefer not to answer,2%,0,0,,,,,,,,,,,,,,,,,
3439,,,,,,,,I prefer not to answer,,I prefer not to answer,2%,0,0,,,,,,,,,,,,,,,,,
3174,Lives in University/Southwest,,,,,,,I prefer not to answer,,I prefer not to answer,2%,0,0,,,,,,,,,,,,,,,,,
3332,Community Organizer or Activist,,,,,,,I prefer not to answer,,I prefer not to answer,2%,0,0,,,,,,,,,,,,,,,,,
3283,,,,,,,,I prefer not to answer,,I prefer not to answer,2%,0,0,,,,,,,,,,,,,,,,,
3463,Community Organizer or Activist,White,Male,Bachelor's Degree,"over $100,000",19146,1978,Yes,"Yes, through community meetings",Yes,2%,0,0,,,,,,,,,,,,,,,,,
2408,,,,,,,,I prefer not to answer,,I prefer not to answer,2%,0,0,,,,,,,,,,,,,,,,,
2446,Community Organizer or Activist,,,,,,,I prefer not to answer,,I prefer not to answer,2%,0,0,,,,,,,,,,,,,,,,,
3278,,White,Female,Professional Degree,"over $100,000",19107,1952,No,"Yes, through personal meetings",No,2%,0,0,,,,,,,,,,,,,,,,,
2697,Observer,White,Female,Bachelor's Degree,"$50,000 - $75,000",19147,1987,No,No communication,I prefer not to answer,2%,0,0,,,,,,,,,,,,,,,,,
2770,,,,,,,,I prefer not to answer,,I prefer not to answer,2%,0,2,,,,,,,,,,,,,,,,,
3529,,,,,,,,I prefer not to answer,,I prefer not to answer,2%,0,0,,,,,,,,,,,,,,,,,
2671,Lives in University/Southwest,,,,,,,I prefer not to answer,,I prefer not to answer,2%,0,0,,,,,,,,,,,,,,,,,
3620,,,,,,,,I prefer not to answer,,I prefer not to answer,2%,0,0,,,,,,,,,,,,,,,,,
2831,,,,,,,,I prefer not to answer,,I prefer not to answer,2%,0,14,,,,,,,,,,,,,,,,,
3622,Student,,,,,,,I prefer not to answer,,I prefer not to answer,2%,0,1,,,,,,,,,,,,,,,,,
3467,"Educator, Observer",White,Male,Bachelor's Degree,"$50,000 - $75,000",19127,1986,No,"Yes, by email",No,2%,0,0,,,,,,,,,,,,,,,,,
3581,Lives in University/Southwest,Asian,Male,Doctoral Degree,"over $100,000",19104,1981,Yes,"Yes, by email",Yes,2%,0,0,,,,,,,,,,,,,,,,,
2686,,,,,,,,I prefer not to answer,,I prefer not to answer,2%,0,0,,,,,,,,,,,,,,,,,
2995,Lives in University/Southwest,White,Male,Professional Degree,I prefer not to answer,19143,1949,No,"Yes, through personal meetings",Yes,2%,0,0,,,,,,,,,,,,,,,,,
2761,,Black or African American,Male,Some College,"$25,000 - $50,000",19121,1988,No,Other,No,2%,0,0,,,,,,,,,,,,,,,,,
3445,,,,,,,,I prefer not to answer,,I prefer not to answer,2%,0,0,,,,,,,,,,,,,,,,,
